"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, True)",-0.3,0.0,0.0,-0.657,0.0,0.0
"(1, 2, True)",0.0,0.0,0.0,-0.51,0.0,0.0
"(1, 3, True)",-0.3,-0.3,0.0,0.0,0.0,0.0
"(1, 4, True)",-0.8319300000000001,0.0,0.0,0.0,0.0,0.0
"(1, 5, True)",0.0,-0.657,0.0,-0.9423519899999997,0.0,0.0
"(2, 1, True)",-0.3,0.0,0.0,-0.9423519899999997,0.0,0.0
"(2, 2, True)",-0.7819499999999999,-0.51,0.0,-0.657,0.0,0.0
"(2, 3, True)",-0.51,-0.51,0.0,-0.9176456999999998,0.0,0.0
"(2, 4, True)",-0.5549999999999999,-0.8584499999999999,-0.3,-0.5549999999999999,0.0,0.0
"(2, 5, True)",0.0,-0.3,-0.8823509999999999,-0.657,10.73859,0.0
"(3, 1, True)",-0.9176456999999998,0.0,-0.7599,-0.8319300000000001,0.0,0.0
"(3, 2, True)",-1.1580373874999998,-0.9422174999999999,-0.9559875,-1.1040277499999998,0.0,0.0
"(3, 3, True)",-1.175230125,-0.7717499999999999,-0.7717499999999999,-1.0980735,0.0,0.0
"(3, 4, True)",-1.1499999999999995,-0.3,-0.8823509999999999,-0.8269499999999999,0.0,0.0
"(3, 5, True)",0.0,-0.9999999999999996,-0.85398,-0.8319300000000001,0.0,0.0
"(4, 1, True)",-0.9999999999999996,0.0,-0.7599,-0.8319300000000001,0.0,0.0
"(4, 2, True)",-0.7717499999999999,-1.3858749999999995,-1.19500089,-0.9559875,10.58080875,0.0
"(4, 3, True)",-0.9955049999999999,-1.1560694249999997,-0.5549999999999999,-0.7717499999999999,0.0,0.0
"(4, 4, True)",-0.657,-0.8823509999999999,-0.51,0.0,0.0,0.0
"(4, 5, True)",0.0,-0.51,-0.9711956999999998,-0.51,0.0,0.0
"(5, 1, True)",-0.9423519899999997,0.0,-0.657,0.0,8.541,0.0
"(5, 2, True)",-0.657,-0.9596463929999997,-0.9176456999999998,0.0,0.0,0.0
"(5, 3, True)",0.0,-0.9176456999999998,-0.657,0.0,0.0,0.0
"(5, 4, True)",-0.3,-0.7599,0.0,0.0,0.0,0.0
"(5, 5, True)",0.0,0.0,-0.657,0.0,0.0,0.0
