"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, True)",0.0,0.0,0.0,-0.27749999999999997,0.0,0.0
"(1, 2, True)",0.0,0.0,0.0,-0.15,0.0,0.0
"(1, 3, True)",-0.15,-0.15,0.0,-0.38587499999999997,0.0,0.0
"(1, 4, True)",-0.15,0.0,0.0,-0.39712499999999995,0.0,0.0
"(1, 5, True)",0.0,-0.38587499999999997,0.0,-0.27749999999999997,0.0,0.0
"(2, 1, True)",-0.2870625,0.0,0.0,-0.56320359375,0.0,0.0
"(2, 2, True)",-0.6631830184456837,-0.43335622978637695,0.0,-0.7649765761087646,0.0,0.0
"(2, 3, True)",-0.4066875,-0.4259390624999999,0.0,-0.9961858003936517,0.0,0.0
"(2, 4, True)",-0.8151636708665222,-0.15,0.0,-0.7635417783725709,0.0,0.0
"(2, 5, True)",0.0,-0.39543749999999994,-0.5127116015625001,-0.39543749999999994,7.191766875,0.0
"(3, 1, True)",-1.0739761021120524,0.0,-0.3079721015625,-0.8190322231255373,0.0,0.0
"(3, 2, True)",-0.15,-1.1142178356959782,-0.9249571218599189,-0.514452890625,0.0,0.0
"(3, 3, True)",-0.9106656390962383,-0.6858224609976196,-1.088925050642092,-0.46148752724853515,0.0,0.0
"(3, 4, True)",-0.15,-0.8527040875765954,-0.9605715583471593,-0.6267356141315917,0.0,0.0
"(3, 5, True)",0.0,-0.15,-0.5157796874999999,0.0,0.0,0.0
"(4, 1, True)",-1.0184853103419886,0.0,-0.3530026246582031,-0.7835605189957398,0.0,0.0
"(4, 2, True)",-0.4518448375966182,-1.2757249431144795,-0.8214569723240844,-0.8795978346215764,7.169245861377136,0.0
"(4, 3, True)",-0.15,-0.5239616015625,-0.4066875,-0.15,0.0,0.0
"(4, 4, True)",-0.15,-0.28874999999999995,-0.6503793046874999,0.0,0.0,0.0
"(4, 5, True)",0.0,-0.16124999999999998,-0.15,0.0,0.0,0.0
"(5, 1, True)",-0.47799375,0.0,-0.7683830537167969,0.0,3.6075,0.0
"(5, 2, True)",-0.27749999999999997,-0.6356319609375,-0.7703593538671875,0.0,0.0,0.0
"(5, 3, True)",0.0,-0.47799375,-0.15,0.0,0.0,0.0
"(5, 4, True)",-0.15,-0.27749999999999997,-0.27749999999999997,0.0,0.0,0.0
"(5, 5, True)",0.0,0.0,-0.15,0.0,0.0,0.0
