"State (x, y, carrying)",North,South,East,West,Pickup,Dropoff
"(1, 1, True)",0.0,0.0,0.0,-0.622850484375,0.0,0.0
"(1, 2, True)",0.0,-0.15,0.0,-0.38587499999999997,0.0,0.0
"(1, 3, True)",-0.47799375,-0.15,0.0,-0.622850484375,0.0,0.0
"(1, 4, True)",-1.0396389669665518,0.0,0.0,-0.9670543985781628,0.0,0.0
"(1, 5, True)",0.0,-0.9828021901477921,0.0,-0.9995906371436503,0.0,0.0
"(2, 1, True)",-0.7831916839473001,0.0,0.0,-0.9731670941317444,0.0,0.0
"(2, 2, True)",-0.42671953124999995,-0.9403967934532081,-0.4700270172395584,-0.9720983053449336,0.0,0.0
"(2, 3, True)",-1.0202591167641681,-0.7749558795138884,-0.15,-0.6433351011914061,0.0,0.0
"(2, 4, True)",-1.4186310030837448,-0.8132077535375977,-1.4958352998742903,-1.4701490862872308,0.0,0.0
"(2, 5, True)",0.0,-1.1183257160968443,-1.3585033080924407,-1.43263431780528,10.416728057766923,0.0
"(3, 1, True)",-0.9849479707744688,0.0,-0.5976426022521972,-1.0636891823405787,0.0,0.0
"(3, 2, True)",-1.3998939018499612,-1.4124727951291178,-0.8016205467481109,-1.3344589732637815,0.0,0.0
"(3, 3, True)",-1.3761095312310752,-1.4208482530352953,-1.3801440689015145,-1.6539302468418982,0.0,0.0
"(3, 4, True)",-1.6957551264140514,-1.3833098872956588,-1.5019925496854913,-1.614777528255098,0.0,0.0
"(3, 5, True)",0.0,-1.1000074321441742,-1.0074891625329712,-0.8994479476756952,0.0,0.0
"(4, 1, True)",-1.1241328045920733,0.0,-0.648643777347029,-0.9252241925180814,0.0,0.0
"(4, 2, True)",-0.8948166580926143,-1.4475984419584949,-1.4419277901526018,-1.4644372643431358,10.24408646434904,0.0
"(4, 3, True)",-0.526795546875,-1.083094167022489,-1.1988651309543183,-0.28874999999999995,0.0,0.0
"(4, 4, True)",-1.1059268247975105,-1.0284985653848562,-1.1006977873526111,-0.2045632106220703,0.0,0.0
"(4, 5, True)",0.0,-1.0192320703680768,-0.9545445614276447,-0.38587499999999997,0.0,0.0
"(5, 1, True)",-0.67942291171875,0.0,-0.8790945064342538,0.0,7.2318309375,0.0
"(5, 2, True)",-0.47799375,-0.9616416891644622,-1.074778267571307,0.0,0.0,0.0
"(5, 3, True)",0.0,-0.684414596484375,-0.38587499999999997,0.0,0.0,0.0
"(5, 4, True)",-0.27749999999999997,-0.47799375,-0.47799375,0.0,0.0,0.0
"(5, 5, True)",0.0,0.0,-0.5562946875,0.0,0.0,0.0
